C,gamma,kernel,accuracy,recall,model_type,n_estimators,max_depth,learning_rate
,,,0.7686796315250768,0.4673629242819843,RF,1100.0,10.0,
,,,0.7676560900716479,0.464751958224543,RF,1200.0,10.0,
,,,0.7686796315250768,0.4673629242819843,RF,1300.0,10.0,
,,,0.7697031729785057,0.4699738903394256,RF,1400.0,10.0,
,,,0.7686796315250768,0.4673629242819843,RF,1500.0,10.0,
,,,0.7666325486182191,0.4673629242819843,RF,1600.0,10.0,
,,,0.7666325486182191,0.464751958224543,RF,1700.0,10.0,
,,,0.7666325486182191,0.464751958224543,RF,1800.0,10.0,
,,,0.7656090071647902,0.4621409921671018,RF,1900.0,10.0,
,,,0.7656090071647902,0.4621409921671018,RF,2000.0,10.0,
,,,0.7656090071647902,0.4621409921671018,RF,2100.0,10.0,
,,,0.7676560900716479,0.4673629242819843,RF,2200.0,10.0,
,,,0.7666325486182191,0.464751958224543,RF,2300.0,10.0,
,,,0.7666325486182191,0.464751958224543,RF,2400.0,10.0,
,,,0.7676560900716479,0.4673629242819843,RF,2500.0,10.0,
,,,0.7686796315250768,0.4699738903394256,RF,2600.0,10.0,
,,,0.7676560900716479,0.4699738903394256,RF,2700.0,10.0,
,,,0.7666325486182191,0.4673629242819843,RF,2800.0,10.0,
,,,0.7656090071647902,0.464751958224543,RF,2900.0,10.0,
,,,0.7656090071647902,0.464751958224543,RF,3000.0,10.0,
,,,0.7656090071647902,0.464751958224543,RF,3100.0,10.0,
,,,0.8096212896622313,0.577023498694517,RF,100.0,20.0,
,,,0.8096212896622313,0.5718015665796344,RF,200.0,20.0,
,,,0.8075742067553736,0.577023498694517,RF,300.0,20.0,
,,,0.8096212896622313,0.577023498694517,RF,400.0,20.0,
,,,0.812691914022518,0.5848563968668408,RF,500.0,20.0,
,,,0.8096212896622313,0.577023498694517,RF,600.0,20.0,
,,,0.8085977482088025,0.5744125326370757,RF,700.0,20.0,
,,,0.8096212896622313,0.5744125326370757,RF,800.0,20.0,
,,,0.8096212896622313,0.5744125326370757,RF,900.0,20.0,
,,,0.8085977482088025,0.5744125326370757,RF,1000.0,20.0,
,,,0.8085977482088025,0.5744125326370757,RF,1100.0,20.0,
,,,0.8096212896622313,0.5796344647519582,RF,1200.0,20.0,
,,,0.8096212896622313,0.5796344647519582,RF,1300.0,20.0,
,,,0.8096212896622313,0.5796344647519582,RF,1400.0,20.0,
,,,0.8085977482088025,0.577023498694517,RF,1500.0,20.0,
,,,0.8106448311156602,0.5796344647519582,RF,1600.0,20.0,
,,,0.8075742067553736,0.5744125326370757,RF,1700.0,20.0,
,,,0.8065506653019447,0.5718015665796344,RF,1800.0,20.0,
,,,0.8065506653019447,0.5718015665796344,RF,1900.0,20.0,
,,,0.8065506653019447,0.5718015665796344,RF,2000.0,20.0,
